Number of segments;Max;Median;Min
1;0,19;0,0;0,0
2;1,1439;0,0;0,0
3;1,1439;0,0;0,0
4;1,1439;0,0;0,0
5;1,1439;0,99995;0,0
6;1,1439;1,0001;0,0
7;1,1439;1,0002;0,0
8;1,1439;1,0002;0,0
9;2,1330999999999998;1,0003;0,5297
10;2,1330999999999998;1,0003;0,5306
11;2,1330999999999998;1,0004;0,5306
12;2,1330999999999998;1,0019;0,9929
13;2,1330999999999998;1,99085;0,9929
14;2,1330999999999998;2,0000999999999998;0,9929
15;3,0006999999999997;2,0004;0,9998999999999999
16;3,0015;2,0004;1,0002
17;3,1256;2,0004999999999997;1,0004
18;3,1256;2,0006;1,5232999999999999
19;3,1256;2,0006999999999997;1,5232999999999999
20;3,1256;2,00305;1,9036
21;3,1256;2,99265;1,9036
22;3,1256;3,00035;1,9924
23;4,0017;3,0006;1,9924
24;4,003299999999999;3,00065;1,9924
25;4,1337;3,0006999999999997;2,0002999999999997
26;4,1337;3,00075;2,0009
27;4,1337;3,00095;2,0009
28;4,1337;3,5141999999999998;2,0009
29;4,1337;3,9928;2,0009
30;5,0013;4,0008;2,9915
31;5,1335999999999995;4,0008;2,9915
32;5,1335999999999995;4,0009;2,9918
33;5,1335999999999995;4,0009;3,0002
34;5,1335999999999995;4,0009999999999994;3,0008999999999997
35;5,1335999999999995;4,00315;3,0008999999999997
36;5,1335999999999995;4,9434;3,0008999999999997
37;6,0017;5,0009999999999994;3,0008999999999997
38;6,1349;5,0011;3,9911
39;6,1349;5,0011;3,9911
40;6,1349;5,00125;3,9911
41;6,1349;5,001399999999999;4,0004
42;6,1349;5,010949999999999;4,0009999999999994
43;7,0009999999999994;5,25985;4,001399999999999
44;7,1342;6,0011;4,001399999999999
45;15,0033;6,0013;4,001399999999999
46;15,0033;6,0013499999999995;4,001399999999999
47;15,0033;6,001399999999999;4,991099999999999
48;15,0033;6,0015;4,991099999999999
49;15,0033;6,0112499999999995;4,991099999999999
50;15,0033;6,51535;5,001399999999999
51;15,0033;7,0013;5,001399999999999
52;16,0035;7,001449999999999;5,0015
53;16,0035;7,0016;5,0015
54;16,0035;7,0017;5,9914
55;16,0035;7,001849999999999;5,9914
56;16,0035;7,0076;5,9914
57;16,0035;7,52855;5,9921
58;16,0035;7,999;5,9921
59;16,0035;8,00165;5,9921
60;17,003899999999998;8,0017;5,9921
61;17,003899999999998;8,0018;6,992
62;17,003899999999998;8,0019;6,992
63;17,003899999999998;8,00385;6,992
64;17,003899999999998;8,71105;6,992
65;17,003899999999998;8,99805;6,992
66;18,004099999999998;9,0018;6,992
67;18,004099999999998;9,001999999999999;7,0019
68;18,004099999999998;9,002049999999999;7,992699999999999
69;18,004099999999998;9,0021;7,992699999999999
70;18,004099999999998;9,00395;7,992699999999999
71;18,004099999999998;9,9446;7,992699999999999
72;18,004099999999998;10,00175;8,0018
73;19,0043;10,001949999999999;8,0018
74;19,0043;10,00215;8,0117
75;19,0043;10,0023;8,9277
76;19,0043;10,00245;8,992799999999999
77;19,0043;10,0039;8,9949
78;19,0043;10,26095;8,9949
79;20,0045;10,94575;9,0006
80;20,0045;11,0023;9,001999999999999
81;20,0045;11,0023;9,0116
82;20,0045;11,0024;9,0116
83;20,0045;11,002699999999999;9,0116
84;20,0045;11,00445;9,992799999999999
85;20,0045;11,014999999999999;10,0007
86;21,0048;11,9991;10,0007
87;21,0048;12,0026;10,0017
88;21,0048;12,002699999999999;10,0017
89;21,0048;12,002699999999999;10,011899999999999
90;21,0048;12,002799999999999;10,011899999999999
91;21,0048;12,013399999999999;10,011899999999999
92;21,0048;12,0154;11,0008
93;22,0052;13,00265;11,0008
94;22,0052;13,002799999999999;11,0008
95;22,0052;13,002899999999999;11,002099999999999
96;22,0052;13,0031;11,002099999999999
97;22,0052;13,0033;11,0024
98;22,0052;13,0131;11,0026
99;22,0052;13,51525;12,0022
100;23,005;13,9737;12,0022
101;23,005;14,002899999999999;12,0022
102;23,005;14,0032;12,0026
103;23,005;14,0033;12,0026
104;23,005;14,0039;12,0026
105;23,005;14,0133;12,0026
106;24,005799999999997;14,510399999999999;13,001299999999999
107;24,005799999999997;14,997449999999999;13,001299999999999
108;24,005799999999997;15,0033;13,0026
109;24,005799999999997;15,0033;13,0026
110;24,005799999999997;15,003499999999999;13,0026
111;24,005799999999997;15,004349999999999;13,0026
112;24,9958;15,0144;13,0026
113;24,9958;15,3201;13,0026
114;24,9958;15,993749999999999;13,0031
115;24,9958;16,0034;13,0031
116;24,9958;16,0036;14,002699999999999
117;24,9958;16,00375;14,002699999999999
118;25,9959;16,003899999999998;14,002699999999999
119;25,9959;16,01365;14,002699999999999
120;25,9959;16,026699999999998;14,002699999999999
121;25,9959;16,52355;14,002799999999999
122;25,9959;17,0027;15,002699999999999
123;25,9959;17,00365;15,002699999999999
124;26,996599999999997;17,003899999999998;15,002699999999999
125;26,996599999999997;17,0062;15,002699999999999
126;26,996599999999997;17,015249999999998;15,002699999999999
127;26,996599999999997;17,02705;15,003
128;26,996599999999997;17,76415;15,003599999999999
129;26,996599999999997;17,9946;15,9935
130;26,996599999999997;18,003899999999998;16,0033
131;28,0059;18,004099999999998;16,0033
132;28,0059;18,0134;16,0033
133;28,0059;18,0152;16,0033
134;28,0059;18,08535;16,0033
135;28,0059;18,976399999999998;16,0033
136;29,0063;19,00125;17,002299999999998
137;29,0063;19,003999999999998;17,0035
138;29,0063;19,00435;17,0035
139;29,0063;19,01355;17,0035
140;29,0063;19,085549999999998;17,0035
141;30,0066;19,085549999999998;17,0035
142;30,0066;19,7498;17,0035
143;30,0066;20,00425;17,0035
144;30,0066;20,0044;17,0171
145;30,0066;20,0048;17,5457
146;30,0066;20,0149;18,0038
147;30,0066;20,0454;18,0038
148;30,0066;20,10125;18,0038
149;31,006999999999998;20,524449999999998;18,003899999999998
150;31,006999999999998;21,0046;18,003899999999998
151;31,006999999999998;21,0048;18,0263
152;31,006999999999998;21,00505;18,538999999999998
153;31,006999999999998;21,0077;18,538999999999998
154;31,006999999999998;21,02665;19,004099999999998
155;31,006999999999998;21,3218;19,004099999999998
156;32,0074;21,527549999999998;19,004099999999998
157;32,0074;22,004849999999998;19,004099999999998
158;32,0074;22,0049;19,5387
159;32,0074;22,00515;19,5387
160;32,0074;22,005699999999997;19,5387
161;32,0074;22,02735;19,5387
162;32,0074;22,216099999999997;20,0043
163;33,0074;22,9637;20,0043
164;33,0074;23,005;20,0271
165;33,0074;23,00545;20,539199999999997
166;33,0074;23,00555;20,539199999999997
167;33,0074;23,0202;20,539199999999997
168;33,0074;23,09505;20,539199999999997
169;34,0077;23,51645;20,9967
170;34,0077;23,99645;21,0364
171;34,0077;24,00545;21,0364
172;34,0077;24,00575;21,5395
173;34,0077;24,0064;21,5395
174;34,0077;24,034299999999998;21,5395
175;34,0077;24,1467;21,5395
176;35,007799999999996;24,51625;22,0048
177;35,007799999999996;25,00115;22,0048
178;35,007799999999996;25,005599999999998;22,038999999999998
179;35,007799999999996;25,005799999999997;22,5397
180;35,007799999999996;25,00995;22,5397
181;35,007799999999996;25,086199999999998;22,5397
182;35,007799999999996;25,14395;22,5397
183;35,007799999999996;25,50515;22,5397
184;36,0079;26,0059;23,0051
185;36,0079;26,006;23,035899999999998
186;36,0079;26,006249999999998;23,54
187;36,0079;26,016299999999998;23,54
188;36,0079;26,13555;23,54
189;36,0079;26,209899999999998;23,54
190;36,0079;26,9091;23,54
191;36,0079;27,005499999999998;24,0052
192;36,0079;27,0061;24,0052
193;37,0084;27,01335;24,0294
194;37,0084;27,0218;24,54
195;37,0084;27,20995;24,54
196;37,0084;27,5152;24,54
197;37,0084;27,99765;24,54
198;37,0084;28,00575;25,005499999999998
199;37,0084;28,01735;25,029999999999998
200;37,0084;28,0264;25,029999999999998
201;37,0084;28,14875;25,540499999999998
202;38,0084;28,390249999999998;25,540499999999998
203;38,0084;28,882749999999998;25,540499999999998
204;38,0084;29,0063;25,540499999999998
205;38,0084;29,006549999999997;26,0296
206;38,0084;29,006649999999997;26,0296
207;38,0084;29,0126;26,0296
208;38,0084;29,0355;26,0296
209;38,0178;29,92305;26,0296
210;39,0089;30,0066;26,0296
211;39,0089;30,0067;26,5403
212;39,0182;30,00685;27,0059
213;39,0182;30,01035;27,029899999999998
214;39,0182;30,01645;27,029899999999998
215;40,018299999999996;30,5416;27,029899999999998
216;40,018299999999996;30,998299999999997;27,029899999999998
217;40,018299999999996;31,0068;27,559099999999997
218;41,018499999999996;31,00685;28,0063
219;41,018499999999996;31,00695;28,0063
220;41,018499999999996;31,0157;28,029999999999998
221;41,018499999999996;31,0368;28,029999999999998
222;42,0188;31,92365;28,029999999999998
223;42,0188;32,00335;28,029999999999998
224;42,0188;32,007149999999996;29,0065
225;42,0188;32,0073;29,0066
226;42,0188;32,0076;29,0309
227;42,0188;32,023849999999996;29,0309
228;43,0192;32,7735;29,0309
229;43,0192;33,00725;29,0309
230;43,0192;33,0073;29,0309
231;43,0192;33,00745;29,0309
232;43,0192;33,0077;29,0309
233;44,0194;33,015699999999995;30,0066
234;44,0194;33,473949999999995;30,0066
235;44,0194;34,0073;30,0066
236;45,0195;34,00745;30,0066
237;45,0195;34,0077;30,030099999999997
238;45,0195;34,01235;30,030099999999997
239;45,0195;34,02355;30,030099999999997
240;45,0195;34,67115;31,006899999999998
241;46,0197;35,00755;31,006899999999998
242;46,0197;35,007799999999996;31,0309
243;46,0197;35,0079;31,0309
244;47,0199;35,01755;31,0309
245;48,0201;35,02865;31,0309
246;48,0201;35,3376;32,007
247;48,0201;36,007799999999996;32,007
248;49,020399999999995;36,0079;32,007
249;49,020399999999995;36,01155;32,007
250;49,020399999999995;36,0648;32,030899999999995
251;49,020399999999995;36,86125;32,030899999999995
252;50,020599999999995;36,94845;33,007
253;50,020599999999995;37,0079;33,007
254;50,020599999999995;37,0081;33,007
