Number of segments;Max;Median;Min
1;0,19;0,0;0,0
2;1,0021;0,0;0,0
3;1,0021;0,0;0,0
4;1,0021;0,0;0,0
5;1,0181;0,9995499999999999;0,0
6;1,0181;1,0001499999999999;0,0
7;1,0181;1,0002;0,0
8;1,0181;1,0002499999999999;0,0
9;2,0006;1,0003;0,0
10;2,0082999999999998;1,0003;0,9941
11;2,0082999999999998;1,0003;0,9941
12;2,0082999999999998;1,0003;0,9941
13;2,0202;1,5088;0,9941
14;2,0202;2,0004;0,9941
15;2,0202;2,0004;1,0
16;3,0010999999999997;2,0004999999999997;1,0001
17;3,0010999999999997;2,0004999999999997;1,0002
18;3,0010999999999997;2,0004999999999997;1,9943
19;3,009;2,0004999999999997;1,9943
20;3,013;2,0006999999999997;1,9943
21;3,013;3,0000999999999998;1,9943
22;3,013;3,0006;1,9943
23;3,0168;3,00065;1,9943
24;4,0013;3,0006999999999997;2,0002999999999997
25;4,0013;3,0006999999999997;2,0002999999999997
26;4,0013;3,00075;2,9928
27;4,0134;3,00095;2,9928
28;4,0134;3,0088999999999997;2,9928
29;4,0134;4,0005999999999995;2,9928
30;5,0011;4,0008;2,9928
31;5,0011;4,0009;2,9943999999999997
32;5,0133;4,0009;3,0004
33;5,0133;4,0009;3,0006
34;5,0133;4,00095;3,0006
35;5,0133;4,001399999999999;3,0008
36;5,0133;4,0116499999999995;3,9919
37;5,0133;5,0009999999999994;3,9945999999999997
38;6,0017;5,0011;3,9945999999999997
39;6,019699999999999;5,0011;4,0005
40;6,019699999999999;5,0011;4,0007
41;6,019699999999999;5,0011;4,0007
42;6,019699999999999;5,0013499999999995;4,0007
43;6,019699999999999;5,02;4,9917
44;7,001799999999999;5,99805;4,9917
45;7,001799999999999;6,0013;4,9917
46;7,012899999999999;6,0013499999999995;4,9917
47;7,0137;6,001449999999999;5,0009999999999994
48;7,0203;6,0017;5,0009999999999994
49;7,0203;6,0024999999999995;5,0009999999999994
50;7,0203;6,59375;5,0009999999999994
51;8,0021;6,99805;5,9927
52;8,0133;7,0013499999999995;5,9927
53;8,0133;7,0016;5,9927
54;8,0133;7,002;5,9927
55;8,0139;7,0020999999999995;5,993799999999999
56;8,0139;7,0023;5,993799999999999
57;8,0139;7,54655;5,993799999999999
58;9,0131;8,00165;6,9925
59;9,0131;8,00175;6,9925
60;9,0131;8,0018;6,9925
61;9,013499999999999;8,001999999999999;6,9925
62;9,014199999999999;8,0022;6,9935
63;9,014199999999999;8,00435;6,9935
64;10,0133;8,543149999999999;6,9935
65;10,0133;9,0018;6,9935
66;10,0144;9,0019;7,0016
67;10,0144;9,001949999999999;7,9928
68;10,0144;9,001999999999999;7,9928
69;10,0144;9,002049999999999;7,9929
70;11,013499999999999;9,0037;7,9929
71;11,013499999999999;9,9961;7,9929
72;11,013499999999999;9,998999999999999;8,0011
73;11,0146;10,0021;8,0011
74;11,0148;10,0022;8,9958
75;11,0148;10,0023;8,9958
76;11,0148;10,002849999999999;8,997
77;12,0138;10,00445;8,997
78;12,0334;10,0115;8,997
79;12,0334;10,995249999999999;9,000399999999999
80;12,0334;11,0024;9,000399999999999
81;13,0032;11,0025;9,0021
82;13,0032;11,0026;9,0021
83;13,0032;11,0045;9,9941
84;13,014;11,0093;10,0014
85;13,014;11,0132;10,0014
86;13,026499999999999;11,9949;10,0014
87;14,0038;12,0024;10,0025
88;14,0038;12,00265;10,0133
89;14,0038;12,002699999999999;10,0133
90;14,0038;12,00295;11,001999999999999
91;14,0038;12,013499999999999;11,001999999999999
92;14,0269;13,0026;11,001999999999999
93;14,0269;13,0026;11,002099999999999
94;14,0269;13,003;11,0025
95;15,0039;13,00315;11,0025
96;15,0039;13,0032;11,0137
97;15,0039;13,01285;12,0024
98;15,0268;13,01285;12,0024
99;15,0268;13,136299999999999;12,0024
100;15,0268;14,0031;12,0024
101;15,0268;14,0032;12,0024
102;16,004099999999998;14,00325;12,0024
103;16,004099999999998;14,0034;12,003
104;16,004099999999998;14,003649999999999;13,0025
105;16,027;14,0101;13,0025
106;16,027;14,0313;13,0025
107;16,027;15,003;13,0025
108;16,027;15,0034;13,002799999999999
109;17,004099999999998;15,003699999999998;13,0034
110;17,004099999999998;15,003699999999998;13,0034
111;17,0046;15,00605;13,0034
112;17,0046;15,01155;14,002799999999999
113;17,0046;15,058449999999999;14,002899999999999
114;17,0272;16,00355;14,002899999999999
115;17,0272;16,0036;14,002899999999999
116;17,034299999999998;16,00385;14,002899999999999
117;18,0042;16,0063;14,002899999999999
118;18,0042;16,00985;14,0032
119;18,0043;16,01345;14,014299999999999
120;18,0043;16,01665;15,0031
121;18,0043;16,9973;15,0031
122;18,0281;17,0038;15,0031
123;19,0044;17,00385;15,0031
124;19,0044;17,0042;15,0031
125;19,0044;17,009149999999998;15,0031
126;19,0044;17,0212;15,0094
127;19,0046;17,026149999999998;16,0037
128;19,0061;17,63555;16,0037
129;20,0045;18,00405;16,0038
130;20,0053;18,0043;16,0038
131;20,0053;18,00885;16,003899999999998
132;20,0053;18,0124;16,003899999999998
133;20,0053;18,0258;16,014699999999998
134;20,0053;18,1358;16,996
135;21,005;19,00415;16,996
136;21,005;19,00425;16,996
137;21,005;19,0045;16,996
138;21,005;19,00685;16,996
139;21,005;19,022299999999998;16,996
140;21,0279;19,026;17,0149
141;22,005;19,64165;17,0149
142;22,005;20,0044;17,0149
143;22,005;20,00455;17,9953
144;22,006;20,004849999999998;17,9953
145;22,006;20,0076;17,9953
