Number of segments;Max;Median;Min
2;0,19;0,0;0,0
52;0,23987499999999998;0,1346384615384615;0,0
102;0,19708921568627452;0,14699509803921568;0,09843235294117647
152;0,20560657894736842;0,13501907894736842;0,10280197368421051
202;0,1870668316831683;0,14860247524752476;0,10276237623762376
252;0,1860281746031746;0,13508968253968254;0,12119285714285714
302;0,1723205298013245;0,14345827814569537;0,13245529801324504
352;0,18356818181818182;0,15302670454545456;0,11726448863636363
402;0,2106047263681592;0,15784726368159202;0,13786119402985073
452;0,22243119469026548;0,1670780973451327;0,1354179203539823
502;0,24727609561752986;0,18679282868525895;0,1487601593625498
552;0,2144018115942029;0,17870942028985506;0,1564639492753623
602;0,24184933554817276;0,20410830564784052;0,15683355481727576
652;0,2638725460122699;0,19772039877300612;0,16107868098159508
702;0,2542780626780627;0,2061622507122507;0,16483205128205128
752;0,2819877659574468;0,2221190159574468;0,1755714095744681
802;0,26072069825436406;0,2285280548628429;0,19467655860349128
852;0,2625167840375587;0,2324463615023474;0,17900903755868544
902;0,2870517738359202;0,22953691796008868;0,17965465631929045
952;0,29752920168067226;0,2419063025210084;0,1815798319327731
1002;0,3030239520958084;0,22460309381237523;0,1960563872255489
1052;0,28850941064638785;0,23454695817490495;0,20000199619771863
1102;0,32765998185117967;0,2573619782214156;0,20491760435571688
1152;0,2906028645833333;0,2527671006944444;0,20996692708333334
1202;0,30453377703826956;0,25071073211314476;0,21417088186356073
1252;0,33054161341853033;0,2669457667731629;0,22393514376996804
1302;0,3464238095238095;0,2752797235023042;0,22678364055299538
1352;0,35751915680473373;0,27955954142011835;0,23121649408284023
1402;0,32536091298145503;0,2731420114122682;0,23418523537803138
1452;0,3327190771349862;0,2807035123966942;0,23426170798898072
1502;0,350848069241012;0,2885805592543275;0,24823288948069241
1552;0,36005708762886596;0,2978163015463917;0,2512972293814433
1602;0,3313633583021223;0,3010210362047441;0,25318445692883895
1652;0,36561737288135593;0,29394261501210656;0,25032427360774817
1702;0,35889682726204464;0,3119130434782609;0,2699957109283196
1752;0,3778743721461187;0,29985804794520543;0,2590433219178082
1802;0,35130998890122084;0,29912008879023305;0,2579983906770255
1852;0,3674207343412527;0,32362127429805615;0,2535472462203024
1902;0,3810333333333333;0,3082359621451104;0,26703548895899054
1952;0,37157438524590164;0,3337546618852459;0,2784490266393443
2002;0,3985341658341658;0,29733156843156844;0,2656221778221778
2052;0,3967705653021443;0,3282800682261208;0,2762176900584795
2102;0,3897161750713606;0,3112925784966698;0,26930951474785914
2152;0,38277142193308544;0,3288520910780669;0,2673455390334572
2202;0,387094187102634;0,3279750227066303;0,2966108991825613
2252;0,4068116785079929;0,33391918294849027;0,2973002220248668
2302;0,4048853605560382;0,33491220677671585;0,29266350999131185
2352;0,3948381802721088;0,3484832057823129;0,2833486394557823
2402;0,3869688176519567;0,32730062447960034;0,29838992506244794
2452;0,40151129690048937;0,35602830342577485;0,293151753670473
2502;0,3969768185451638;0,3473367705835331;0,31113129496402875
2552;0,4057931818181818;0,36558667711598747;0,3087355407523511
2602;0,4132493850883935;0,35717782475019216;0,29369231360491926
2652;0,4183934012066365;0,35413567119155354;0,3034273755656109
2702;0,43255381199111764;0,3490519245003701;0,31945532938564025
2752;0,4185618822674418;0,35607768895348835;0,31225512354651164
2802;0,4168003925767309;0,34329857244825124;0,31276734475374735
2852;0,45516707573632537;0,3755156732117812;0,3293819074333801
2902;0,4086697794624397;0,3652381116471399;0,3343269469331495
2952;0,40354634146341467;0,36937289972899723;0,3257915311653116
3002;0,4089063624250499;0,37438814123917386;0,33102508327781477
3052;0,42171788990825687;0,37052273918741807;0,341889121887287
3102;0,41946969696969694;0,387945164410058;0,3487987105093488
3152;0,4192907043147208;0,3912438769035533;0,3328269352791878
3202;0,4337613054341037;0,3870736414740787;0,34755712054965643
3252;0,4296930196801968;0,3870708794587946;0,3353819495694957
3302;0,4307445487583283;0,38936738340399757;0,3488619624470018
3352;0,41262037589498807;0,3852259248210024;0,3485114260143198
3402;0,44366440329218104;0,37810323339212226;0,3406123750734862
3452;0,42317468134414826;0,3977030417149478;0,3436625434530707
3502;0,42359840091376355;0,39905722444317526;0,35944054825813815
3552;0,4363984234234234;0,3982209459459459;0,35890332207207204
3602;0,4316555524708495;0,39667409772348694;0,35576043864519713
3652;0,4279526560788609;0,38973526834611166;0,35384107338444687
3702;0,4373218800648298;0,401702944354403;0,3687893030794165
3752;0,4256825159914712;0,4060513592750533;0,3703843283582089
3802;0,42566328248290375;0,4012152025249869;0,36298445554971065
3852;0,4413927050882658;0,4030753634475597;0,3679829179646937
3902;0,4440113018964634;0,4063568426447975;0,36605082009226036
3952;0,45733927125506074;0,4124753036437247;0,3660660425101215
4002;0,43536239380309844;0,4085870064967516;0,37581939030484757
4052;0,43712305034550836;0,4074545903257651;0,385188450148075
4102;0,4416319356411506;0,41246433447098974;0,3776566552901024
4152;0,42904997591522154;0,40094407514450864;0,38816358381502886
4202;0,4343917658257972;0,40824547834364583;0,38683879105188
4252;0,4307486124176858;0,41406789746001876;0,3992926387582314
4302;0,4365759414225941;0,40939923291492325;0,394192189679219
4352;0,43501213235294117;0,413505606617647;0,39140172334558826
4402;0,4287005452067242;0,41161853702862333;0,38296024534302586
